.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Gemcytabine:P98153	Gemcytabine	P98153	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Integral membrane protein DGCR2/IDD	0	DGCR2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q02742	Gemcytabine	Q02742	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	0	GCNT1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q04695	Gemcytabine	Q04695	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	3	Keratin, type I cytoskeletal 17	0	KRT17	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q07889	Gemcytabine	Q07889	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Son of sevenless homolog 1	0	SOS1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q0D2I5	Gemcytabine	Q0D2I5	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Intermediate filament family orphan 1	0	IFFO1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q14159	Gemcytabine	Q14159	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	DNA repair-scaffolding protein	0	SPIDR	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q14CS0	Gemcytabine	Q14CS0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	UBX domain-containing protein 2B	0	UBXN2B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q15051	Gemcytabine	Q15051	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	IQ calmodulin-binding motif-containing protein 1	0	IQCB1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q16611	Gemcytabine	Q16611	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Bcl-2 homologous antagonist/killer	0	BAK1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q16720	Gemcytabine	Q16720	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Plasma membrane calcium-transporting ATPase 3	0	ATP2B3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q32M88	Gemcytabine	Q32M88	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein-glucosylgalactosylhydroxylysine glucosidase	0	PGGHG	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q4KMQ1	Gemcytabine	Q4KMQ1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Taperin	0	TPRN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q5D862	Gemcytabine	Q5D862	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Filaggrin-2	0	FLG2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q6IQ55	Gemcytabine	Q6IQ55	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tau-tubulin kinase 2	0	TTBK2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q6P444	Gemcytabine	Q6P444	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Mitochondrial fission regulator 2	0	MTFR2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q6PID8	Gemcytabine	Q6PID8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Kelch domain-containing protein 10	0	KLHDC10	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q6Y1H2	Gemcytabine	Q6Y1H2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2	0	HACD2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q86VQ6	Gemcytabine	Q86VQ6	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	1	0	2	Thioredoxin reductase 3	0	TXNRD3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q86YZ3	Gemcytabine	Q86YZ3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Hornerin	0	HRNR	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q8N531	Gemcytabine	Q8N531	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	F-box/LRR-repeat protein 6	0	FBXL6	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q96H55	Gemcytabine	Q96H55	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Unconventional myosin-XIX	0	MYO19	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q96LW4	Gemcytabine	Q96LW4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	DNA-directed primase/polymerase protein	0	PRIMPOL	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q96ND0	Gemcytabine	Q96ND0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein FAM210A	0	FAM210A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9BRS8	Gemcytabine	Q9BRS8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	La-related protein 6	0	LARP6	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9H4B7	Gemcytabine	Q9H4B7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tubulin beta-1 chain	0	TUBB1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9HAU4	Gemcytabine	Q9HAU4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	E3 ubiquitin-protein ligase SMURF2	0	SMURF2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9NV64	Gemcytabine	Q9NV64	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Transmembrane protein 39A	0	TMEM39A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9NZC3	Gemcytabine	Q9NZC3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glycerophosphodiester phosphodiesterase 1	0	GDE1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9NZH5;O95997	Gemcytabine	Q9NZH5;O95997	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	1	1	1	1	Securin-2	0	PTTG2;PTTG1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9NZL3	Gemcytabine	Q9NZL3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 224	0	ZNF224	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9UL49	Gemcytabine	Q9UL49	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Transcription factor-like 5 protein	0	TCFL5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9ULJ1	Gemcytabine	Q9ULJ1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Protein BCAP	0	ODF2L	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9Y2B1	Gemcytabine	Q9Y2B1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ribitol-5-phosphate xylosyltransferase 1	0	RXYLT1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q9Y597	Gemcytabine	Q9Y597	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	BTB/POZ domain-containing protein KCTD3	0	KCTD3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:Q96I76	Gemcytabine	Q96I76	0.014691084321302	-0.962280853111386	0.999997312488282	724.917880395902	724.917880395902	123303.664130245	TRUE	0.976030358313837	0.0979778485832815	-8.48178031612155	-7.44057766226182	0.0414144294270948	1	0	0.16562401081127	0	0	0	1	0	1	0	0	0	G patch domain-containing protein 3	28229366.6666667	GPATCH3	0.305687508024137	0.0497102136600539	0.082827794220212	-5.26243576417507e-05	-0.147589257451751	R_Bin_1
non-regulated	Gemcytabine:P68371;Q3ZCM7;A6NNZ2	Gemcytabine	P68371;Q3ZCM7;A6NNZ2	0.0164006908160516	-0.958054660523757	0.999995459962753	726.936282565457	726.936282565457	111971.906775976	TRUE	0.970256102364573	0.109089737728153	-7.1926274300602	-6.15142477620048	0.0461147336077754	1	0	0.184410885910314	0	0	0	1	0	1	0	0	0	Tubulin beta-4B chain	9962116	TUBB4B;TUBB8;TUBB8B	0.121196559250225	0.055355508013584	0.0922275771989691	-7.26741142238474e-05	-0.148126025311723	R_Bin_1
non-regulated	Gemcytabine:Q9P227	Gemcytabine	Q9P227	0.0175364872074912	-0.926770855568608	1.00000091956936	157.914389655386	157.914389655386		TRUE	0.996478171544619	0.0369121440560945	-20.1961900858322	-19.1549874319725	0.0501871884986506	1	0.0934889364139837	0.0581603614618969	0	0.0507107908646442	0	1	1	1	0	1	0	Rho GTPase-activating protein 23	37165774	ARHGAP23	0.361150340223392	0.0219135973134224	0.0987392919866534	0.00158905561828315	-0.148185565660283	R_Bin_1
non-regulated	Gemcytabine:Q9UPV9	Gemcytabine	Q9UPV9	0.000523669261960336	-0.870262353361025	0.973153380065673	675.664462236439	675.664462236439		TRUE	0.960506424168825	0.125690456810488	-5.49281102697353	-4.45160837311381	0.0521844368317888	1	0	0	0.193664047301956	0	0	1	0	0	1	0	0	Trafficking kinesin-binding protein 1	76187789	TRAK1	0.49839517267942	0.0527401310444306	0.0535736699269461	0.0507952014988575	-0.137323884362801	R_Bin_1
non-regulated	Gemcytabine:O15085	Gemcytabine	O15085	0.0149497924585889	-0.943488507557245	0.999996559201055	894.523545513098	894.523545513098	107325.750320779	TRUE	0.976735726387297	0.0953957830939967	-8.8022648338986	-7.76106218003887	0.0525122141002308	1	0	0.166795690005985	0.0540015809962465	0	0	1	0	1	1	0	0	Rho guanine nucleotide exchange factor 11	208338174	ARHGEF11	0.681602259596867	0.0525110184929483	0.0942435827097603	0.0107210613036053	-0.146079831685993	R_Bin_1
non-regulated	Gemcytabine:Q969H6	Gemcytabine	Q969H6	0.0004946869535926	-0.868336309869823	0.974473088840095	675.988855207285	675.988855207285		TRUE	0.955666242399297	0.133170000602649	-4.79915919072442	-3.75795653686469	0.0537662973506273	1	0	0	0.20635497214614	0	0	1	0	0	1	0	0	Ribonuclease P/MRP protein subunit POP5	34286330.6666667	POP5	0.344203363718064	0.054291064207007	0.0550782124381397	0.0524543803770282	-0.13696128651011	R_Bin_1
non-regulated	Gemcytabine:Q6IQ22	Gemcytabine	Q6IQ22	0.000493774001045153	-0.86828925191523	0.974510680495369	675.997316928074	675.997316928074		TRUE	0.955532896947612	0.133370429319236	-4.78111205954001	-3.73990940568029	0.0538073334268891	1	0	0	0.206693857755456	0	0	1	0	0	1	0	0	Ras-related protein Rab-12	112175228	RAB12	0.569007574784953	0.0543311291278732	0.0551168206372651	0.0524978443408523	-0.13695160406413	R_Bin_1
